Id  country  name  lat  lng
883  PL  Stanislawow  52.28937  21.54848
884  PL  Trawniki  51.13633  22.99816
885  PL  Trabki  51.94792  21.59929
886  PL  Staporkow  51.13762  20.57173
887  PL  Starachowice  51.0374  21.07126
888  PL  Stara Wies  49.71505  22.00441
889  PL  Stare Babice  52.26028  20.83403
890  PL  Stare Juchy  53.92198  22.17367
891  PL  Stare Miasto  50.28879  22.42928
892  PL  Stary Sacz  49.56364  20.63496
893  PL  Stary Wisnicz  49.92548  20.48641
894  PL  Trablice  51.35249  21.12877
895  PL  Stary Zamosc  50.82004  23.17154
896  PL  Tylicz  49.39598  21.02368
897  PL  Swietajno  54.00151  22.3183
898  PL  Sypniewo  53.0058  21.3073
899  PL  Tereszpol  50.58373  22.8798
900  PL  Tluszcz  52.43058  21.43561
901  PL  Tomaszow Lubelski  50.44767  23.41616
902  PL  Tomaszow Mazowiecki  51.53131  20.00855
903  PL  Trabki  49.96226  20.1424
904  PL  Srokowo  54.21416  21.52282
905  PL  Jablonna  51.08875  22.59364
906  PL  Jablonna  52.37885  20.91745
907  PL  Jablonna Lacka  52.47664  22.44228
908  PL  Deblin  51.55912  21.84829
909  PL  Debno  49.96701  20.71979
910  PL  Frydman  49.44927  20.22961
911  PL  Debno  50.19811  22.51837
912  PL  Debowa Kloda  51.59446  23.0064
913  PL  Debowiec  49.68374  21.46068
914  PL  Dlugie  49.57866  22.04338
915  PL  Dlugosiodlo  52.75998  21.59183
916  PL  Debica  50.05146  21.41141
917  PL  Dobczyce  49.88109  20.08936
918  PL  Dobre  52.32097  21.67881
919  PL  Dobre Miasto  53.98668  20.39749
920  PL  Dobrzyniewo Duze  53.20022  23.01129
921  PL  Dolhobyczow  50.58591  24.03594
922  PL  Domanice  52.03739  22.17642
923  PL  Domaradz  49.78675  21.94571
924  PL  Domaszowice  50.87488  20.68288
925  PL  Debow  50.0449  22.43614
926  PL  Dobra  49.71793  20.25347
927  PL  Konstancin-Jeziorna  52.0938  21.11761
928  PL  Debe Wielkie  52.19961  21.44334
929  PL  Dabrowno  53.43408  20.03529
930  PL  Elk  53.82824  22.36469
931  PL  Fajslawice  51.09592  22.96323
932  PL  Falkow  51.13606  20.1061
933  PL  Filipow  54.18037  22.62076
934  PL  Firlej  51.55882  22.50841
935  PL  Frampol  50.67159  22.67061
936  PL  Fredropol  49.69578  22.74625
937  PL  Drzewica  51.45085  20.47701
938  PL  Daleszyce  50.80229  20.80791
939  PL  Drohiczyn  52.40011  22.65853
940  PL  Dorohusk  51.15475  23.80325
941  PL  Czerwonka  52.89254  21.21494
942  PL  Czerwonka  53.91627  20.89685
943  PL  Czudec  49.94487  21.84134
944  PL  Czyzew  52.79768  22.31237
945  PL  Dabrowa Bialostocka  53.65364  23.34792
946  PL  Dabrowa Tarnowska  50.17462  20.98633
947  PL  Dabrowka  52.48388  21.29794
948  PL  Drelow  51.91219  22.87165
949  PL  Dzwola  50.69657  22.56729
950  PL  Frysztak  49.84164  21.60942
951  PL  Gorzyce  50.12841  22.57926
952  PL  Grzeska  50.08303  22.45399
953  PL  Grzybowa Gora  51.13326  20.96174
954  PL  Guzow  52.11626  20.33672
955  PL  Gwoznica Gorna  49.82791  21.99772
956  PL  Gorzno  51.84681  21.70933
957  PL  Gorzkow  50.94778  23.01267
958  PL  Gorowo Ilaweckie  54.28559  20.48886
959  PL  Gorno  50.84774  20.82501
960  PL  Grybow  49.62439  20.94797
961  PL  Garbow  51.35517  22.32937
962  PL  Gasocin  52.73754  20.7118
963  PL  Gdow  49.90818  20.19879
964  PL  Giedlarowa  50.22689  22.40593
965  PL  Gielniow  51.40076  20.48126
966  PL  Gierloz  54.08134  21.49551
967  PL  Gierzwald  53.54128  20.08867
968  PL  Gietrzwald  53.74617  20.23742
969  PL  Gizycko  54.03811  21.76441
970  PL  Garwolin  51.89747  21.61466
971  PL  Garbatka-Letnisko  51.4832  21.61079
972  PL  Gruszow Wielki  50.19163  21.03144
